Geburtsland;Geburtsort;Geburtsort korrigiert;Geburtsort_Land kombiniert;Anzahl Personen;Notizen;Lat_Bing;Long_Bing;Distanz zu Düsseldorf
Baden-Württemberg;BadenBaden Stadt;Baden-Baden;Baden-Baden, Baden-Württemberg;110;;48,78150177;8,203570366;
Baden-Württemberg;Freiburg im Breisgau Stadt;Freiburg;Freiburg, Baden-Württemberg;607;;47,99853134;7,849649906;
Baden-Württemberg;Heidelberg Stadt;Heidelberg;Heidelberg, Baden-Württemberg;617;;49,4134903;8,708069801;
Baden-Württemberg;Heilbronn Stadt;Heilbronn;Heilbronn, Baden-Württemberg;208;;49,13830185;9,237910271;
Baden-Württemberg;Karlsruhe Stadt;Karlsruhe;Karlsruhe, Baden-Württemberg;611;;49,00540161;8,386870384;
Baden-Württemberg;Konstanz Universitätsstadt;Konstanz;Konstanz, Baden-Württemberg;120;;47,67670059;9,182880402;
Baden-Württemberg;Ludwigsburg Stadt;Ludwigsburg;Ludwigsburg, Baden-Württemberg;113;;48,89319992;9,194270134;
Baden-Württemberg;Mannheim Universitätsstadt;Mannheim;Mannheim, Baden-Württemberg;464;;49,48120117;8,482709885;
Baden-Württemberg;Pforzheim Stadt;Pforzheim;Pforzheim, Baden-Württemberg;212;;48,89350128;8,706979752;
Baden-Württemberg;Reutlingen Stadt;Reutlingen;Reutlingen, Baden-Württemberg;131;;48,49499893;9,202969551;
Baden-Württemberg;Rheinhausen;Rheinhausen;Rheinhausen, Baden-Württemberg;123;;48,22679138;7,710529804;
Baden-Württemberg;Stuttgart Landeshauptstadt;Stuttgart;Stuttgart, Baden-Württemberg;1097;;48,76766968;9,171919823;
Baden-Württemberg;Tübingen Universitätsstadt;Tübingen;Tübingen, Baden-Württemberg;270;;48,52130127;9,052980423;
Baden-Württemberg;Ulm Universitätsstadt;Ulm;Ulm, Baden-Württemberg;215;;48,39459991;9,968560219;
Baden-Württemberg;VillingenSchwenningen Stadt;Villingen-Schwenningen;Villingen-Schwenningen, Baden-Württemberg;131;;48,06216049;8,538020134;
Bayern;Aschaffenburg;Aschaffenburg;Aschaffenburg, Bayern;157;;49,98799896;9,109880447;
Bayern;Augsburg;Augsburg;Augsburg, Bayern;252;;48,35509872;10,93309975;
Bayern;Bad Kissingen GKSt;Bad Kissingen;Bad Kissingen, Bayern;138;;50,19189835;10,06379986;
Bayern;Bamberg;Bamberg;Bamberg, Bayern;130;;49,89030075;10,90579987;
Bayern;Bayreuth;Bayreuth;Bayreuth, Bayern;102;;49,91949844;11,5600996;
Bayern;Coburg;Coburg;Coburg, Bayern;125;;50,26570129;10,93809986;
Bayern;Erlangen;Erlangen;Erlangen, Bayern;184;;49,58729935;11,02579975;
Bayern;Monheim St;Monheim (Bayern);Monheim (Bayern), Bayern;308;;48,83929825;10,85140038;
Bayern;München Landeshauptstadt;München;München, Bayern;1673;;48,10155106;11,57227039;
Bayern;Nürnberg;Nürnberg;Nürnberg, Bayern;505;;49,46519852;11,07600021;
Bayern;Regensburg;Regensburg;Regensburg, Bayern;166;;49,02399826;12,07590008;
Bayern;Schweinfurt;Schweinfurt;Schweinfurt, Bayern;142;;50,04539871;10,23159981;
Bayern;Würzburg;Würzburg;Würzburg, Bayern;488;;49,80350113;9,944020271;
Berlin;Berlin Stadt;Berlin;Berlin, Berlin;5692;;52,51607132;13,37697983;
Brandenburg;Brandenburg an der Havel Stadt;Brandenburg an der Havel;Brandenburg an der Havel, Brandenburg;208;;52,41090012;12,50090027;
Brandenburg;Cottbus Stadt;Cottbus;Cottbus, Brandenburg;210;;51,76089859;14,35079956;
Brandenburg;Eberswalde Stadt;Eberswalde;Eberswalde, Brandenburg;101;;52,832901;13,75199986;
Brandenburg;Frankfurt Oder Stadt;Frankfurt an der Oder;Frankfurt an der Oder, Brandenburg;180;;52,34370041;14,55099964;
Brandenburg;Potsdam Stadt;Potsdam;Potsdam, Brandenburg;303;;52,38288879;13,04601002;
Brandenburg;Schwerin;Schwerin;Schwerin, Brandenburg;206;;52,15819931;13,63269997;
Bremen;Bremen Stadt;Bremen;Bremen, Bremen;1278;;53,07509995;8,804690361;
Bremen;Bremerhaven Stadt;Bremerhaven;Bremerhaven, Bremen;320;;53,52610016;8,623869896;
Hamburg;Hamburg Freie und Hansestadt;Hamburg;Hamburg, Hamburg;2775;;53,55334091;9,992469788;
Hessen;Bad Hersfeld Kreisstadt;Bad Hersfeld;Bad Hersfeld, Hessen;119;;50,86500168;9,702589989;
Hessen;Bad Homburg v d Höhe Stadt;Bad Homburg von der Höhe;Bad Homburg von der Höhe, Hessen;112;;50,22650146;8,611969948;
Hessen;Bad Soden am Taunus Stadt;Bad Soden am Taunus;Bad Soden am Taunus, Hessen;101;;50,15670013;8,49489975;
Hessen;Darmstadt Wissenschaftsstadt;Darmstadt;Darmstadt, Hessen;332;;49,85340118;8,646519661;
Hessen;Frankfurt am Main Stadt;Frankfurt am Main;Frankfurt am Main, Hessen;1621;;50,11207962;8,683409691;
Hessen;Fulda Stadt;Fulda;Fulda, Hessen;220;;50,54769897;9,671759605;
Hessen;Gießen Universitätsstadt;Gießen;Gießen, Hessen;361;;50,58409882;8,678359985;
Hessen;Hanau BrüderGrimmStadt;Hanau;Hanau, Hessen;182;;50,13539886;8,917329788;
Hessen;Kassel documentaStadt;Kassel;Kassel, Hessen;732;;51,31610107;9,468520164;
Hessen;Marburg Universitätsstadt;Marburg;Marburg, Hessen;407;;50,80550003;8,777580261;
Hessen;Offenbach am Main Stadt;Offenbach am Main;Offenbach am Main, Hessen;259;;50,10329819;8,777469635;
Hessen;Weimar Lahn;Weimar an der Lahn;Weimar an der Lahn, Hessen;162;;50,7597084;8,733200073;
Hessen;Wiesbaden Landeshauptstadt;Wiesbaden;Wiesbaden, Hessen;559;;50,08459854;8,242289543;
Mecklenburg-Vorpommern;GREIFSWALD;Greifswald;Greifswald, Mecklenburg-Vorpommern;144;;54,08974457;13,39124393;
Mecklenburg-Vorpommern;NEUBRANDENBURG;Neubrandenburg;Neubrandenburg, Mecklenburg-Vorpommern;117;;53,55918503;13,27782536;
Mecklenburg-Vorpommern;Rostock Hansestadt;Rostock;Rostock, Mecklenburg-Vorpommern;410;;54,0790596;12,13216019;
Mecklenburg-Vorpommern;STRALSUND;Stralsund;Stralsund, Mecklenburg-Vorpommern;134;;54,30881119;13,09450722;
Niedersachsen;Aurich Stadt;Aurich;Aurich, Niedersachsen;131;;53,46720123;7,488900185;
Niedersachsen;Bad Pyrmont Stadt;Bad Pyrmont;Bad Pyrmont, Niedersachsen;104;;51,99020004;9,266719818;
Niedersachsen;Braunschweig Stadt;Braunschweig;Braunschweig, Niedersachsen;685;;52,23550034;10,54189968;
Niedersachsen;Celle Stadt;Celle;Celle, Niedersachsen;297;;52,62189865;10,0763998;
Niedersachsen;Cloppenburg Stadt;Cloppenburg;Cloppenburg, Niedersachsen;137;;52,8404007;8,043840408;
Niedersachsen;Cuxhaven Stadt;Cuxhaven;Cuxhaven, Niedersachsen;148;;53,84429932;8,687970161;
Niedersachsen;Delmenhorst Stadt;Delmenhorst;Delmenhorst, Niedersachsen;151;;53,04919815;8,625289917;
Niedersachsen;Emden Stadt;Emden;Emden, Niedersachsen;119;;53,37070084;7,208630085;
Niedersachsen;Georgsmarienhütte Stadt;Georgsmarienhütte;Georgsmarienhütte, Niedersachsen;227;;52,1977005;8,045419693;
Niedersachsen;GOSLAR;Goslar;Goslar, Niedersachsen;150;;51,91469955;10,42930031;
Niedersachsen;Göttingen Stadt;Göttingen;Göttingen, Niedersachsen;645;;51,55989838;9,931920052;
Niedersachsen;Gronau Leine Stadt;Gronau (Leine);Gronau (Leine), Niedersachsen;140;;52,08319855;9,786910057;
Niedersachsen;Hameln Stadt;Hameln;Hameln, Niedersachsen;217;;52,1012001;9,348750114;
Niedersachsen;HANNOVER;Hannover;Hannover, Niedersachsen;1551;;52,37226868;9,738149643;
Niedersachsen;Haselünne Stadt;Haselünne;Haselünne, Niedersachsen;105;;52,6780014;7,479949951;
Niedersachsen;Helmstedt Stadt;Helmstedt;Helmstedt, Niedersachsen;115;;52,22919846;10,99839973;
Niedersachsen;Hildesheim Stadt;Hildesheim;Hildesheim, Niedersachsen;401;;52,16080093;9,978560448;
Niedersachsen;Holzminden Stadt;Holzminden;Holzminden, Niedersachsen;123;;51,82720184;9,445819855;
Niedersachsen;Husum;Husum;Husum, Niedersachsen;110;;52,56420135;9,242050171;
Niedersachsen;Leer Ostfriesland Stadt;Leer (Ostfriesland);Leer (Ostfriesland), Niedersachsen;168;;53,23751068;7,461763859;
Niedersachsen;Lingen Ems Stadt;Lingen (Ems);Lingen (Ems), Niedersachsen;221;;52,53214264;7,323010921;
Niedersachsen;Lüneburg Hansestadt;Lüneburg;Lüneburg, Niedersachsen;188;;53,25270081;10,41180038;
Niedersachsen;Meppen Stadt;Meppen;Meppen, Niedersachsen;140;;52,69329834;7,277890205;
Niedersachsen;Nordhorn Stadt;Nordhorn;Nordhorn, Niedersachsen;383;;52,4457016;7,065020084;
Niedersachsen;Northeim Stadt;Northeim;Northeim, Niedersachsen;118;;51,70349884;9,992620468;
Niedersachsen;Oldenburg Oldenburg Stadt;Oldenburg;Oldenburg, Niedersachsen;572;;53,14419937;8,193479538;
Niedersachsen;Osnabrück Stadt;Osnabrück;Osnabrück, Niedersachsen;670;;52,29130173;8,054650307;
Niedersachsen;Papenburg Stadt;Papenburg;Papenburg, Niedersachsen;124;;53,07429886;7,409880161;
Niedersachsen;Peine Stadt;Peine;Peine, Niedersachsen;102;;52,32279968;10,24569988;
Niedersachsen;Salzgitter Stadt;Salzgitter;Salzgitter, Niedersachsen;185;;52,15327835;10,33312035;
Niedersachsen;Stade Hansestadt;Stade Hanse;Stade Hanse, Niedersachsen;138;;53,59527;9,47672;
Niedersachsen;Uelzen Stadt;Uelzen;Uelzen, Niedersachsen;108;;52,97449875;10,56260014;
Niedersachsen;Vechta Stadt;Vechta;Vechta, Niedersachsen;143;;52,7356987;8,281640053;
Niedersachsen;Wilhelmshaven Stadt;Wilhelmshaven;Wilhelmshaven, Niedersachsen;326;;53,52959824;8,099840164;
Niedersachsen;Wolfenbüttel Stadt;Wolfenbüttel;Wolfenbüttel, Niedersachsen;130;;52,15890121;10,55910015;
Niedersachsen;Wolfsburg Stadt;Wolfsburg;Wolfsburg, Niedersachsen;146;;52,42440033;10,79749966;
Nordrhein-Westfalen;Aachen;Aachen;Aachen, Nordrhein-Westfalen;2082;;50,77822876;6,088640213;
Nordrhein-Westfalen;Ahaus Stadt;Ahaus;Ahaus, Nordrhein-Westfalen;194;;52,09030151;7,00797987;
Nordrhein-Westfalen;Ahlen Stadt;Ahlen;Ahlen, Nordrhein-Westfalen;232;;51,74150085;7,889550209;
Nordrhein-Westfalen;Arnsberg Stadt;Arnsberg;Arnsberg, Nordrhein-Westfalen;533;;51,39440155;8,06210041;
Nordrhein-Westfalen;Attendorn Hansestadt;Attendorn;Attendorn, Nordrhein-Westfalen;158;;51,12440109;7,90060997;
Nordrhein-Westfalen;Bad Oeynhausen Stadt;Bad Oeynhausen;Bad Oeynhausen, Nordrhein-Westfalen;188;;52,22249985;8,816619873;
Nordrhein-Westfalen;BARDENBERG;Bardenberg;Bardenberg, Nordrhein-Westfalen;315;;50,84019852;6,110660076;
Nordrhein-Westfalen;Beckum Stadt;Beckum ;Beckum , Nordrhein-Westfalen;211;;51,76010132;8,04763031;
Nordrhein-Westfalen;Bergheim Stadt;Bergheim ;Bergheim , Nordrhein-Westfalen;122;;50,94889832;6,648990154;
Nordrhein-Westfalen;Bergisch Gladbach Stadt;Bergisch Gladbach ;Bergisch Gladbach , Nordrhein-Westfalen;1205;;50,98949814;7,123159885;
Nordrhein-Westfalen;Bielefeld Stadt;Bielefeld ;Bielefeld , Nordrhein-Westfalen;1378;;52,00189972;8,592909813;
Nordrhein-Westfalen;Bocholt Stadt;Bocholt ;Bocholt , Nordrhein-Westfalen;536;;51,81980133;6,609749794;
Nordrhein-Westfalen;Bochum Stadt;Bochum ;Bochum , Nordrhein-Westfalen;1856;;51,48199844;7,212639809;
Nordrhein-Westfalen;Bonn Stadt;Bonn ;Bonn , Nordrhein-Westfalen;2296;;50,73242188;7,101860046;
Nordrhein-Westfalen;Borken Stadt;Borken ;Borken , Nordrhein-Westfalen;275;;51,95780182;6,922500134;
Nordrhein-Westfalen;Bottrop Stadt;Bottrop ;Bottrop , Nordrhein-Westfalen;629;;51,51819992;6,932169914;
Nordrhein-Westfalen;Brilon Stadt;Brilon ;Brilon , Nordrhein-Westfalen;249;;51,38650131;8,566949844;
Nordrhein-Westfalen;Brühl Stadt;Brühl ;Brühl , Nordrhein-Westfalen;130;;50,83039856;6,90557003;
Nordrhein-Westfalen;Bünde Stadt;Bünde ;Bünde , Nordrhein-Westfalen;145;;52,196763;8,582987;
Nordrhein-Westfalen;CastropRauxel Stadt;Castrop-Rauxel ;Castrop-Rauxel , Nordrhein-Westfalen;301;;51,54769897;7,316150188;
Nordrhein-Westfalen;Coesfeld Stadt;Coesfeld ;Coesfeld , Nordrhein-Westfalen;320;;51,9294014;7,165850163;
Nordrhein-Westfalen;Datteln Stadt;Datteln ;Datteln , Nordrhein-Westfalen;250;;51,6631012;7,34528017;
Nordrhein-Westfalen;Detmold Stadt;Detmold ;Detmold , Nordrhein-Westfalen;425;;51,94300079;8,876379967;
Nordrhein-Westfalen;Dinslaken Stadt;Dinslaken ;Dinslaken , Nordrhein-Westfalen;775;;51,56110001;6,765950203;
Nordrhein-Westfalen;Dormagen Stadt;Dormagen ;Dormagen , Nordrhein-Westfalen;608;;51,1006012;6,854050159;
Nordrhein-Westfalen;Dorsten Stadt;Dorsten ;Dorsten , Nordrhein-Westfalen;337;;51,6631012;6,963759899;
Nordrhein-Westfalen;Dortmund Stadt;Dortmund ;Dortmund , Nordrhein-Westfalen;2415;;51,51660919;7,4582901;
Nordrhein-Westfalen;Duisburg Stadt;Duisburg ;Duisburg , Nordrhein-Westfalen;8294;;51,43143082;6,763929844;
Nordrhein-Westfalen;Dülmen Stadt;Dülmen ;Dülmen , Nordrhein-Westfalen;149;;51,84180069;7,279009819;
Nordrhein-Westfalen;Düren Stadt;Düren ;Düren , Nordrhein-Westfalen;585;;50,803553;6,480544;
Nordrhein-Westfalen;Düsseldorf Stadt;Düsseldorf ;Düsseldorf , Nordrhein-Westfalen;226079;;51,21562958;6,776040077;
Nordrhein-Westfalen;Emmerich am Rhein Stadt;Emmerich am Rhein ;Emmerich am Rhein , Nordrhein-Westfalen;396;;51,83309937;6,24477005;
Nordrhein-Westfalen;Emsdetten Stadt;Emsdetten ;Emsdetten , Nordrhein-Westfalen;146;;52,17979813;7,521830082;
Nordrhein-Westfalen;Engelskirchen;Engelskirchen;Engelskirchen, Nordrhein-Westfalen;151;;50,98320007;7,415780067;
Nordrhein-Westfalen;Erkelenz Stadt;Erkelenz;Erkelenz, Nordrhein-Westfalen;354;;51,08060074;6,312489986;
Nordrhein-Westfalen;Erkrath Fundort des Neanderthalers Stadt;Erkrath;Erkrath, Nordrhein-Westfalen;277;;51,2215004;6,897799969;
Nordrhein-Westfalen;ESCHWEILER;Eschweiler;Eschweiler, Nordrhein-Westfalen;192;;50,81719971;6,269489765;
Nordrhein-Westfalen;Essen Stadt;Essen ;Essen , Nordrhein-Westfalen;5658;;51,45180893;7,01060009;
Nordrhein-Westfalen;Euskirchen Stadt;Euskirchen ;Euskirchen , Nordrhein-Westfalen;209;;50,65769958;6,787320137;
Nordrhein-Westfalen;Frechen Stadt;Frechen ;Frechen , Nordrhein-Westfalen;190;;50,90439987;6,792049885;
Nordrhein-Westfalen;Geilenkirchen Stadt;Geilenkirchen ;Geilenkirchen , Nordrhein-Westfalen;150;;50,96450043;6,119709969;
Nordrhein-Westfalen;Geldern Stadt;Geldern ;Geldern , Nordrhein-Westfalen;480;;51,51399994;6,319210052;
Nordrhein-Westfalen;Gelsenkirchen Stadt;Gelsenkirchen ;Gelsenkirchen , Nordrhein-Westfalen;1857;;51,51729965;7,122210026;
Nordrhein-Westfalen;Geseke Stadt;Geseke ;Geseke , Nordrhein-Westfalen;103;;51,63740158;8,501379967;
Nordrhein-Westfalen;Gevelsberg Stadt;Gevelsberg ;Gevelsberg , Nordrhein-Westfalen;105;;51,32730103;7,330160141;
Nordrhein-Westfalen;Gladbeck Stadt;Gladbeck ;Gladbeck , Nordrhein-Westfalen;314;;51,57439041;6,992599964;
Nordrhein-Westfalen;Goch Stadt;Goch ;Goch , Nordrhein-Westfalen;366;;51,67290115;6,17802;
Nordrhein-Westfalen;Greven Stadt;Greven ;Greven , Nordrhein-Westfalen;139;;52,1053009;7,612979889;
Nordrhein-Westfalen;Grevenbroich Stadt;Grevenbroich ;Grevenbroich , Nordrhein-Westfalen;681;;51,09009933;6,593729973;
Nordrhein-Westfalen;Gronau Westf Stadt;Gronau (Westfalen);Gronau (Westfalen), Nordrhein-Westfalen;158;;52,21139908;7,045670033;
Nordrhein-Westfalen;Gummersbach Stadt;Gummersbach ;Gummersbach , Nordrhein-Westfalen;240;;51,02640152;7,557400227;
Nordrhein-Westfalen;Gütersloh Stadt;Gütersloh ;Gütersloh , Nordrhein-Westfalen;395;;51,90390015;8,425290108;
Nordrhein-Westfalen;Haan Stadt;Haan ;Haan , Nordrhein-Westfalen;1407;;51,20759964;7,032999992;
Nordrhein-Westfalen;Hagen Stadt der FernUniversität;Hagen;Hagen, Nordrhein-Westfalen;1389;;51,35960007;7,460989952;
Nordrhein-Westfalen;Haltern am See Stadt;Haltern am See ;Haltern am See , Nordrhein-Westfalen;204;;51,7419014;7,18693018;
Nordrhein-Westfalen;Hamm Stadt;Hamm ;Hamm , Nordrhein-Westfalen;907;;51,6711998;7,774710178;
Nordrhein-Westfalen;Hattingen Stadt;Hattingen ;Hattingen , Nordrhein-Westfalen;265;;51,39239883;7,177740097;
Nordrhein-Westfalen;Heinsberg Stadt;Heinsberg ;Heinsberg , Nordrhein-Westfalen;266;;51,06729889;6,099219799;
Nordrhein-Westfalen;Hemer Stadt;Hemer ;Hemer , Nordrhein-Westfalen;161;;51,38619995;7,778329849;
Nordrhein-Westfalen;Herdecke Stadt;Herdecke ;Herdecke , Nordrhein-Westfalen;523;;51,4007988;7,435560226;
Nordrhein-Westfalen;Herford Hansestadt;Herford;Herford, Nordrhein-Westfalen;396;;52,1167984;8,655059814;
Nordrhein-Westfalen;Herne Stadt;Herne ;Herne , Nordrhein-Westfalen;831;;51,54030991;7,21987009;
Nordrhein-Westfalen;Herten Stadt;Herten ;Herten , Nordrhein-Westfalen;337;;51,62490082;7,149600029;
Nordrhein-Westfalen;Hilden Stadt;Hilden ;Hilden , Nordrhein-Westfalen;6367;;51,16809845;6,953629971;
Nordrhein-Westfalen;Höxter Stadt;Höxter ;Höxter , Nordrhein-Westfalen;274;;51,77149963;9,378410339;
Nordrhein-Westfalen;Hückeswagen SchlossStadt;Hückeswagen;Hückeswagen, Nordrhein-Westfalen;103;;51,14390182;7,331860065;
Nordrhein-Westfalen;Ibbenbüren Stadt;Ibbenbüren ;Ibbenbüren , Nordrhein-Westfalen;236;;52,28219986;7,704470158;
Nordrhein-Westfalen;Iserlohn Stadt;Iserlohn ;Iserlohn , Nordrhein-Westfalen;514;;51,37630081;7,709980011;
Nordrhein-Westfalen;Issum;Issum;Issum, Nordrhein-Westfalen;109;;51,54180145;6,43637991;
Nordrhein-Westfalen;Jülich Stadt;Jülich ;Jülich , Nordrhein-Westfalen;209;;50,9294014;6,364029884;
Nordrhein-Westfalen;Kamen Stadt;Kamen ;Kamen , Nordrhein-Westfalen;124;;51,59090042;7,661359787;
Nordrhein-Westfalen;KampLintfort Stadt;Kamp-Lintfort ;Kamp-Lintfort , Nordrhein-Westfalen;285;;51,50189972;6,562530041;
Nordrhein-Westfalen;Kempen Stadt;Kempen ;Kempen , Nordrhein-Westfalen;361;;51,3708992;6,407400131;
Nordrhein-Westfalen;Kevelaer Stadt;Kevelaer ;Kevelaer , Nordrhein-Westfalen;231;;51,58409882;6,239789963;
Nordrhein-Westfalen;Kleve Stadt;Kleve ;Kleve , Nordrhein-Westfalen;558;;51,7820015;6,117949963;
Nordrhein-Westfalen;Köln Stadt;Köln ;Köln , Nordrhein-Westfalen;5031;;50,937737;6,960182;
Nordrhein-Westfalen;Korschenbroich Stadt;Korschenbroich ;Korschenbroich , Nordrhein-Westfalen;119;;51,19240189;6,512420177;
Nordrhein-Westfalen;Krefeld Stadt;Krefeld ;Krefeld , Nordrhein-Westfalen;2617;;51,33390045;6,562300205;
Nordrhein-Westfalen;Langenfeld Rheinland Stadt;Langenfeld (Rheinland);Langenfeld (Rheinland), Nordrhein-Westfalen;1341;;51,11059952;6,947969913;
Nordrhein-Westfalen;Lemgo Stadt;Lemgo ;Lemgo , Nordrhein-Westfalen;195;;52,03820038;8,901579857;
Nordrhein-Westfalen;Lennestadt Stadt;Lenne ;Lenne , Nordrhein-Westfalen;175;;51,13154984;8,22371006;
Nordrhein-Westfalen;Leverkusen Stadt;Leverkusen ;Leverkusen , Nordrhein-Westfalen;1380;;51,03319168;6,981739998;
Nordrhein-Westfalen;Linnich Stadt;Linnich ;Linnich , Nordrhein-Westfalen;100;;50,97840118;6,265950203;
Nordrhein-Westfalen;Lippstadt Stadt;Lipp ;Lipp , Nordrhein-Westfalen;403;;50,99567032;6,568270206;
Nordrhein-Westfalen;Lübbecke Stadt;Lübbecke ;Lübbecke , Nordrhein-Westfalen;121;;52,31240082;8,632479668;
Nordrhein-Westfalen;Lüdenscheid Stadt;Lüdenscheid ;Lüdenscheid , Nordrhein-Westfalen;568;;51,21080017;7,586289883;
Nordrhein-Westfalen;Lüdinghausen Stadt;Lüdinghausen ;Lüdinghausen , Nordrhein-Westfalen;118;;51,77690125;7,460309982;
Nordrhein-Westfalen;Lünen Stadt;Lünen ;Lünen , Nordrhein-Westfalen;266;;51,610421;7,528793;
Nordrhein-Westfalen;Marl Stadt;Marl ;Marl , Nordrhein-Westfalen;426;;51,64910126;7,109570026;
Nordrhein-Westfalen;Meerbusch Stadt;Meerbusch ;Meerbusch , Nordrhein-Westfalen;1212;;51,25188828;6,691020012;
Nordrhein-Westfalen;Menden Sauerland Stadt;Menden (Sauerland);Menden (Sauerland), Nordrhein-Westfalen;243;;51,43830109;7,799039841;
Nordrhein-Westfalen;Meschede Kreis und  Hochschulstadt;Meschede;Meschede, Nordrhein-Westfalen;249;;51,35279846;8,276539803;
Nordrhein-Westfalen;Mettingen;Mettingen;Mettingen, Nordrhein-Westfalen;104;;52,31615067;7,780519962;
Nordrhein-Westfalen;Mettmann Stadt;Mettmann ;Mettmann , Nordrhein-Westfalen;1645;;51,24489975;6,96216011;
Nordrhein-Westfalen;Minden Stadt;Minden ;Minden , Nordrhein-Westfalen;384;;52,28649902;8,945340157;
Nordrhein-Westfalen;Moers Stadt;Moers ;Moers , Nordrhein-Westfalen;910;;51,44979858;6,67013979;
Nordrhein-Westfalen;Mönchengladbach Stadt;Mönchengladbach ;Mönchengladbach , Nordrhein-Westfalen;3365;;51,19549942;6,442679882;
Nordrhein-Westfalen;Mülheim an der Ruhr Stadt;Mülheim an der Ruhr ;Mülheim an der Ruhr , Nordrhein-Westfalen;1269;;51,43159866;6,878769875;
Nordrhein-Westfalen;Münster Stadt;Münster ;Münster , Nordrhein-Westfalen;2434;;51,96300888;7,617809772;
Nordrhein-Westfalen;Nettetal Stadt;Nettetal ;Nettetal , Nordrhein-Westfalen;239;;51,30624008;6,277369976;
Nordrhein-Westfalen;Neuss Stadt;Neuss ;Neuss , Nordrhein-Westfalen;5462;;51,21609879;6,667709827;
Nordrhein-Westfalen;Oberhausen Stadt;Oberhausen ;Oberhausen , Nordrhein-Westfalen;1934;;51,4694519;6,855090141;
Nordrhein-Westfalen;Oelde Stadt;Oelde ;Oelde , Nordrhein-Westfalen;119;;51,83209991;8,146849632;
Nordrhein-Westfalen;Olpe Stadt;Olpe ;Olpe , Nordrhein-Westfalen;200;;51,02600098;7,847869873;
Nordrhein-Westfalen;Paderborn Stadt;Paderborn ;Paderborn , Nordrhein-Westfalen;888;;51,71813965;8,752039909;
Nordrhein-Westfalen;Plettenberg Stadt;Plettenberg ;Plettenberg , Nordrhein-Westfalen;107;;51,21289825;7,88132;
Nordrhein-Westfalen;Radevormwald Stadt auf der Höhe;Radevormwald;Radevormwald, Nordrhein-Westfalen;127;;51,19860077;7,348169804;
Nordrhein-Westfalen;Ratingen Stadt;Ratingen ;Ratingen , Nordrhein-Westfalen;3736;;51,29610062;6,815670013;
Nordrhein-Westfalen;Recklinghausen Stadt;Recklinghausen ;Recklinghausen , Nordrhein-Westfalen;859;;51,61949921;7,213409901;
Nordrhein-Westfalen;Remscheid Stadt;Remscheid ;Remscheid , Nordrhein-Westfalen;1001;;51,18249893;7,212669849;
Nordrhein-Westfalen;RhedaWiedenbrück Stadt;Rheda-Wiedenbrück ;Rheda-Wiedenbrück , Nordrhein-Westfalen;232;;51,83470917;8,304019928;
Nordrhein-Westfalen;Rhede Stadt;Rhede ;Rhede , Nordrhein-Westfalen;109;;51,83679962;6,703849792;
Nordrhein-Westfalen;Rheinberg Stadt;Rheinberg ;Rheinberg , Nordrhein-Westfalen;179;;51,54570007;6,587409973;
